representation,task,score,run_id,report,weight
LAIONCLAP_esc50,esc50,0.9665,0825f731,"Linear evaluation: LAIONCLAP_esc50_0825f731 esc50 -> 0.96650 {'audio_repr': 'ar_laionclap.AR_LAIONCLAP', 'weight_file': None, 'feature_d': 768, 'sample_rate': 48000, 'batch_size': 64, 'lr_lineareval': 0.0003, 'report_per_epochs': 50, 'early_stop_epochs': 20, 'warmup_epochs': 5, 'mixup': 0.5, 'ft_bs': 128, 'ft_lr': 2.0, 'ft_early_stop_epochs': -1, 'ft_epochs': 200, 'ft_freq_mask': 8, 'ft_time_mask': 64, 'ft_noise': 0.0, 'ft_rrc': True, 'name': 'LAIONCLAP', 'task_metadata': '/opt/gpfs/home/chushu/codes/2506/EAT/evar/evar/metadata/esc50.csv', 'task_data': '/opt/gpfs/data/raw_data/esc50/48k', 'unit_samples': 240000, 'id': 'LAIONCLAP_esc50_eaf52a61', 'task_name': 'esc50', 'return_filename': False, 'mean': None, 'std': None, 'runtime_cfg': {'lr': 0.0003, 'seed': 42, 'hidden': (), 'standard_scaler': True, 'mixup': False, 'epochs': 200, 'early_stop_epochs': 20, 'id': '059b4f87'}} /opt/gpfs/home/chushu/codes/2506/EAT/evar/logs/LAIONCLAP_esc50_eaf52a61/LAIONCLAP-esc50-LE_0825f731_0.96650.csv",/LAIONCLAP
LAIONCLAP_esc50,esc50,0.9695,f94eef3c,"Linear evaluation: LAIONCLAP_esc50_f94eef3c esc50 -> 0.96950 {'audio_repr': 'ar_laionclap.AR_LAIONCLAP', 'weight_file': None, 'feature_d': 768, 'sample_rate': 48000, 'batch_size': 64, 'lr_lineareval': 0.0003, 'report_per_epochs': 50, 'early_stop_epochs': 20, 'warmup_epochs': 5, 'mixup': 0.5, 'ft_bs': 128, 'ft_lr': 2.0, 'ft_early_stop_epochs': -1, 'ft_epochs': 200, 'ft_freq_mask': 8, 'ft_time_mask': 64, 'ft_noise': 0.0, 'ft_rrc': True, 'name': 'LAIONCLAP', 'task_metadata': '/opt/gpfs/home/chushu/codes/2506/EAT/evar/evar/metadata/esc50.csv', 'task_data': '/opt/gpfs/data/raw_data/esc50/48k', 'unit_samples': 240000, 'id': 'LAIONCLAP_esc50_eaf52a61', 'task_name': 'esc50', 'return_filename': False, 'mean': None, 'std': None, 'runtime_cfg': {'lr': 0.0003, 'seed': 43, 'hidden': (), 'standard_scaler': True, 'mixup': False, 'epochs': 200, 'early_stop_epochs': 20, 'id': '502da5f9'}} /opt/gpfs/home/chushu/codes/2506/EAT/evar/logs/LAIONCLAP_esc50_eaf52a61/LAIONCLAP-esc50-LE_f94eef3c_0.96950.csv",/LAIONCLAP
LAIONCLAP_esc50,esc50,0.9685,bd9a14ce,"Linear evaluation: LAIONCLAP_esc50_bd9a14ce esc50 -> 0.96850 {'audio_repr': 'ar_laionclap.AR_LAIONCLAP', 'weight_file': None, 'feature_d': 768, 'sample_rate': 48000, 'batch_size': 64, 'lr_lineareval': 0.0003, 'report_per_epochs': 50, 'early_stop_epochs': 20, 'warmup_epochs': 5, 'mixup': 0.5, 'ft_bs': 128, 'ft_lr': 2.0, 'ft_early_stop_epochs': -1, 'ft_epochs': 200, 'ft_freq_mask': 8, 'ft_time_mask': 64, 'ft_noise': 0.0, 'ft_rrc': True, 'name': 'LAIONCLAP', 'task_metadata': '/opt/gpfs/home/chushu/codes/2506/EAT/evar/evar/metadata/esc50.csv', 'task_data': '/opt/gpfs/data/raw_data/esc50/48k', 'unit_samples': 240000, 'id': 'LAIONCLAP_esc50_eaf52a61', 'task_name': 'esc50', 'return_filename': False, 'mean': None, 'std': None, 'runtime_cfg': {'lr': 0.0003, 'seed': 44, 'hidden': (), 'standard_scaler': True, 'mixup': False, 'epochs': 200, 'early_stop_epochs': 20, 'id': '2f73548b'}} /opt/gpfs/home/chushu/codes/2506/EAT/evar/logs/LAIONCLAP_esc50_eaf52a61/LAIONCLAP-esc50-LE_bd9a14ce_0.96850.csv",/LAIONCLAP
LAIONCLAP_esc50,esc50,0.9665,0825f731,"Linear evaluation: LAIONCLAP_esc50_0825f731 esc50 -> 0.96650 {'audio_repr': 'ar_laionclap.AR_LAIONCLAP', 'weight_file': None, 'feature_d': 768, 'sample_rate': 48000, 'batch_size': 64, 'lr_lineareval': 0.0003, 'report_per_epochs': 50, 'early_stop_epochs': 20, 'warmup_epochs': 5, 'mixup': 0.5, 'ft_bs': 128, 'ft_lr': 2.0, 'ft_early_stop_epochs': -1, 'ft_epochs': 200, 'ft_freq_mask': 8, 'ft_time_mask': 64, 'ft_noise': 0.0, 'ft_rrc': True, 'name': 'LAIONCLAP', 'task_metadata': '/opt/gpfs/home/chushu/codes/2506/EAT/evar/evar/metadata/esc50.csv', 'task_data': '/opt/gpfs/data/raw_data/esc50/48k', 'unit_samples': 240000, 'id': 'LAIONCLAP_esc50_eaf52a61', 'task_name': 'esc50', 'return_filename': False, 'mean': None, 'std': None, 'runtime_cfg': {'lr': 0.0003, 'seed': 42, 'hidden': (), 'standard_scaler': True, 'mixup': False, 'epochs': 200, 'early_stop_epochs': 20, 'id': '059b4f87'}} /opt/gpfs/home/chushu/codes/2506/EAT/evar/logs/LAIONCLAP_esc50_eaf52a61/LAIONCLAP-esc50-LE_0825f731_0.96650.csv",/LAIONCLAP
LAIONCLAP_esc50,esc50,0.9695,f94eef3c,"Linear evaluation: LAIONCLAP_esc50_f94eef3c esc50 -> 0.96950 {'audio_repr': 'ar_laionclap.AR_LAIONCLAP', 'weight_file': None, 'feature_d': 768, 'sample_rate': 48000, 'batch_size': 64, 'lr_lineareval': 0.0003, 'report_per_epochs': 50, 'early_stop_epochs': 20, 'warmup_epochs': 5, 'mixup': 0.5, 'ft_bs': 128, 'ft_lr': 2.0, 'ft_early_stop_epochs': -1, 'ft_epochs': 200, 'ft_freq_mask': 8, 'ft_time_mask': 64, 'ft_noise': 0.0, 'ft_rrc': True, 'name': 'LAIONCLAP', 'task_metadata': '/opt/gpfs/home/chushu/codes/2506/EAT/evar/evar/metadata/esc50.csv', 'task_data': '/opt/gpfs/data/raw_data/esc50/48k', 'unit_samples': 240000, 'id': 'LAIONCLAP_esc50_eaf52a61', 'task_name': 'esc50', 'return_filename': False, 'mean': None, 'std': None, 'runtime_cfg': {'lr': 0.0003, 'seed': 43, 'hidden': (), 'standard_scaler': True, 'mixup': False, 'epochs': 200, 'early_stop_epochs': 20, 'id': '502da5f9'}} /opt/gpfs/home/chushu/codes/2506/EAT/evar/logs/LAIONCLAP_esc50_eaf52a61/LAIONCLAP-esc50-LE_f94eef3c_0.96950.csv",/LAIONCLAP
LAIONCLAP_esc50,esc50,0.9685,bd9a14ce,"Linear evaluation: LAIONCLAP_esc50_bd9a14ce esc50 -> 0.96850 {'audio_repr': 'ar_laionclap.AR_LAIONCLAP', 'weight_file': None, 'feature_d': 768, 'sample_rate': 48000, 'batch_size': 64, 'lr_lineareval': 0.0003, 'report_per_epochs': 50, 'early_stop_epochs': 20, 'warmup_epochs': 5, 'mixup': 0.5, 'ft_bs': 128, 'ft_lr': 2.0, 'ft_early_stop_epochs': -1, 'ft_epochs': 200, 'ft_freq_mask': 8, 'ft_time_mask': 64, 'ft_noise': 0.0, 'ft_rrc': True, 'name': 'LAIONCLAP', 'task_metadata': '/opt/gpfs/home/chushu/codes/2506/EAT/evar/evar/metadata/esc50.csv', 'task_data': '/opt/gpfs/data/raw_data/esc50/48k', 'unit_samples': 240000, 'id': 'LAIONCLAP_esc50_eaf52a61', 'task_name': 'esc50', 'return_filename': False, 'mean': None, 'std': None, 'runtime_cfg': {'lr': 0.0003, 'seed': 44, 'hidden': (), 'standard_scaler': True, 'mixup': False, 'epochs': 200, 'early_stop_epochs': 20, 'id': '2f73548b'}} /opt/gpfs/home/chushu/codes/2506/EAT/evar/logs/LAIONCLAP_esc50_eaf52a61/LAIONCLAP-esc50-LE_bd9a14ce_0.96850.csv",/LAIONCLAP
